[ 14.4 min] growth: ticks 140000, loci 988, relations 3625, mean degree 7.34, births 985 (failed 13015), pulls accepted 2637, rewires accepted 923, exact LPs 94381, curvature 1361 s (158% of wall)
[ 14.6 min] growth: ticks 142000, loci 996, relations 3651, mean degree 7.33, births 993 (failed 13207), pulls accepted 2655, rewires accepted 927, exact LPs 96181, curvature 1383 s (158% of wall)
[ 14.7 min] growth done: loci 1000, relations 3662, mean degree 7.32, stalled False, ticks 143211, counts {'births': 997, 'birth_fail': 13325, 'pull_prop': 97304, 'pull_acc': 2662, 'rew_att': 143211, 'rew_cand': 143211, 'rew_acc': 928, 'lp': 97273}, curvature 1396 s of 884 s
[ 14.7 min] rest: 73240 rewire attempts to go
[ 14.8 min] rest: ticks 144000, loci 1000, relations 3662, mean degree 7.32, births 997 (failed 13325), pulls accepted 2662, rewires accepted 931, exact LPs 97861, curvature 1403 s (158% of wall)
[ 15.0 min] rest: ticks 146000, loci 1000, relations 3662, mean degree 7.32, births 997 (failed 13325), pulls accepted 2662, rewires accepted 940, exact LPs 99402, curvature 1421 s (158% of wall)
[ 15.2 min] rest: ticks 148000, loci 1000, relations 3662, mean degree 7.32, births 997 (failed 13325), pulls accepted 2662, rewires accepted 944, exact LPs 100890, curvature 1438 s (158% of wall)
[ 15.4 min] rest: ticks 150000, loci 1000, relations 3662, mean degree 7.32, births 997 (failed 13325), pulls accepted 2662, rewires accepted 948, exact LPs 102300, curvature 1455 s (158% of wall)
[ 15.5 min] rest: ticks 152000, loci 1000, relations 3662, mean degree 7.32, births 997 (failed 13325), pulls accepted 2662, rewires accepted 951, exact LPs 103770, curvature 1472 s (158% of wall)
[ 15.7 min] rest: ticks 154000, loci 1000, relations 3662, mean degree 7.32, births 997 (failed 13325), pulls accepted 2662, rewires accepted 961, exact LPs 105329, curvature 1491 s (158% of wall)
[ 15.9 min] rest: ticks 156000, loci 1000, relations 3662, mean degree 7.32, births 997 (failed 13325), pulls accepted 2662, rewires accepted 965, exact LPs 106774, curvature 1508 s (158% of wall)
[ 16.1 min] rest: ticks 158000, loci 1000, relations 3662, mean degree 7.32, births 997 (failed 13325), pulls accepted 2662, rewires accepted 968, exact LPs 108253, curvature 1525 s (158% of wall)
[ 16.3 min] rest: ticks 160000, loci 1000, relations 3662, mean degree 7.32, births 997 (failed 13325), pulls accepted 2662, rewires accepted 974, exact LPs 109795, curvature 1543 s (158% of wall)
[ 16.4 min] rest: ticks 162000, loci 1000, relations 3662, mean degree 7.32, births 997 (failed 13325), pulls accepted 2662, rewires accepted 978, exact LPs 111231, curvature 1560 s (158% of wall)
[ 16.6 min] rest: ticks 164000, loci 1000, relations 3663, mean degree 7.33, births 997 (failed 13325), pulls accepted 2663, rewires accepted 983, exact LPs 112773, curvature 1578 s (158% of wall)
[ 16.8 min] rest: ticks 166000, loci 1000, relations 3663, mean degree 7.33, births 997 (failed 13325), pulls accepted 2663, rewires accepted 989, exact LPs 114313, curvature 1597 s (158% of wall)
[ 17.0 min] rest: ticks 168000, loci 1000, relations 3664, mean degree 7.33, births 997 (failed 13325), pulls accepted 2664, rewires accepted 995, exact LPs 115844, curvature 1615 s (158% of wall)
[ 17.2 min] rest: ticks 170000, loci 1000, relations 3666, mean degree 7.33, births 997 (failed 13325), pulls accepted 2666, rewires accepted 1000, exact LPs 117336, curvature 1632 s (158% of wall)
[ 17.4 min] rest: ticks 172000, loci 1000, relations 3667, mean degree 7.33, births 997 (failed 13325), pulls accepted 2667, rewires accepted 1002, exact LPs 118896, curvature 1650 s (158% of wall)
[ 17.6 min] rest: ticks 174000, loci 1000, relations 3667, mean degree 7.33, births 997 (failed 13325), pulls accepted 2667, rewires accepted 1004, exact LPs 120368, curvature 1668 s (158% of wall)
[ 17.7 min] rest: ticks 176000, loci 1000, relations 3667, mean degree 7.33, births 997 (failed 13325), pulls accepted 2667, rewires accepted 1004, exact LPs 121763, curvature 1684 s (158% of wall)
[ 17.9 min] rest: ticks 178000, loci 1000, relations 3667, mean degree 7.33, births 997 (failed 13325), pulls accepted 2667, rewires accepted 1010, exact LPs 123229, curvature 1701 s (158% of wall)
[ 18.1 min] rest: ticks 180000, loci 1000, relations 3668, mean degree 7.34, births 997 (failed 13325), pulls accepted 2668, rewires accepted 1016, exact LPs 124753, curvature 1719 s (158% of wall)
[ 18.3 min] rest: ticks 182000, loci 1000, relations 3668, mean degree 7.34, births 997 (failed 13325), pulls accepted 2668, rewires accepted 1020, exact LPs 126071, curvature 1735 s (158% of wall)
[ 18.4 min] rest: ticks 184000, loci 1000, relations 3668, mean degree 7.34, births 997 (failed 13325), pulls accepted 2668, rewires accepted 1025, exact LPs 127464, curvature 1751 s (158% of wall)
[ 18.6 min] rest: ticks 186000, loci 1000, relations 3669, mean degree 7.34, births 997 (failed 13325), pulls accepted 2669, rewires accepted 1035, exact LPs 128868, curvature 1768 s (158% of wall)
[ 18.8 min] rest: ticks 188000, loci 1000, relations 3669, mean degree 7.34, births 997 (failed 13325), pulls accepted 2669, rewires accepted 1039, exact LPs 130339, curvature 1785 s (158% of wall)
[ 19.0 min] rest: ticks 190000, loci 1000, relations 3674, mean degree 7.35, births 997 (failed 13325), pulls accepted 2674, rewires accepted 1047, exact LPs 131637, curvature 1801 s (158% of wall)
[ 19.1 min] rest: ticks 192000, loci 1000, relations 3683, mean degree 7.37, births 997 (failed 13325), pulls accepted 2683, rewires accepted 1054, exact LPs 132696, curvature 1813 s (158% of wall)
[ 19.2 min] rest: ticks 194000, loci 1000, relations 3683, mean degree 7.37, births 997 (failed 13325), pulls accepted 2683, rewires accepted 1059, exact LPs 133569, curvature 1824 s (158% of wall)
[ 19.4 min] rest: ticks 196000, loci 1000, relations 3683, mean degree 7.37, births 997 (failed 13325), pulls accepted 2683, rewires accepted 1073, exact LPs 134463, curvature 1834 s (158% of wall)
[ 19.5 min] rest: ticks 198000, loci 1000, relations 3683, mean degree 7.37, births 997 (failed 13325), pulls accepted 2683, rewires accepted 1076, exact LPs 135401, curvature 1846 s (158% of wall)
[ 19.6 min] rest: ticks 200000, loci 1000, relations 3684, mean degree 7.37, births 997 (failed 13325), pulls accepted 2684, rewires accepted 1083, exact LPs 136611, curvature 1861 s (158% of wall)
[ 19.8 min] rest: ticks 202000, loci 1000, relations 3684, mean degree 7.37, births 997 (failed 13325), pulls accepted 2684, rewires accepted 1086, exact LPs 137830, curvature 1876 s (158% of wall)
[ 20.0 min] rest: ticks 204000, loci 1000, relations 3684, mean degree 7.37, births 997 (failed 13325), pulls accepted 2684, rewires accepted 1095, exact LPs 138954, curvature 1890 s (158% of wall)
[ 20.1 min] rest: ticks 206000, loci 1000, relations 3698, mean degree 7.40, births 997 (failed 13325), pulls accepted 2698, rewires accepted 1102, exact LPs 140268, curvature 1906 s (158% of wall)
[ 20.3 min] rest: ticks 208000, loci 1000, relations 3706, mean degree 7.41, births 997 (failed 13325), pulls accepted 2706, rewires accepted 1106, exact LPs 141611, curvature 1922 s (158% of wall)
[ 20.5 min] rest: ticks 210000, loci 1000, relations 3706, mean degree 7.41, births 997 (failed 13325), pulls accepted 2706, rewires accepted 1109, exact LPs 142895, curvature 1938 s (158% of wall)
[ 20.6 min] rest: ticks 212000, loci 1000, relations 3706, mean degree 7.41, births 997 (failed 13325), pulls accepted 2706, rewires accepted 1112, exact LPs 143973, curvature 1951 s (158% of wall)
[ 20.8 min] rest: ticks 214000, loci 1000, relations 3706, mean degree 7.41, births 997 (failed 13325), pulls accepted 2706, rewires accepted 1115, exact LPs 145040, curvature 1964 s (158% of wall)
[ 20.9 min] rest: ticks 216000, loci 1000, relations 3707, mean degree 7.41, births 997 (failed 13325), pulls accepted 2707, rewires accepted 1117, exact LPs 146308, curvature 1982 s (158% of wall)
[ 21.0 min] rest done: loci 1000, relations 3707, mean degree 7.41, counts {'births': 997, 'birth_fail': 13325, 'pull_prop': 165579, 'pull_acc': 2707, 'rew_att': 216451, 'rew_cand': 216451, 'rew_acc': 1117, 'lp': 146533}, curvature 1985 s
exit 0
